מסך בחירת שפה - בצמוד לאנימציה תיבת טקסט,לחצו להתחלה,Press to begin,اضغطوا للبدء
טוטוריאל אינטראקטיבי - תיבת טקסט במקביל לאנימציית ההסבר,פרשו ידים כדי לעוף ימינה,Spread your hands to fly to the right.,مدوا اليدين للطيران يميناً
,פרשו ידים כדי לעוף שמאלה,Spread your hands to fly to the left.,مدوا اليدين للطيران يساراً
,הצמידו מרפקים לגוף כדי לצלול ולתפוס טרף,Hold your elbows to your body to dive and catch prey.,ألصقوا المرفقين على الجسم للغوص والقبض على الفريسة
,פרשו ידים לצדדים כדי לעוף מעלה,Spread your hands to the sides to fly upwards.,مدوا اليدين إلى الجوانب للطيران إلى أعلى
מסך טיסה - סימון ראיית אדם,ראיית אדם,Human vision,بصر إنسان
מסך טיסה - סימון ראיית ציפור,ראיית עוף דורס,Raptor vision,بصر طير جارح
מסך תפיסת טרף,פרשו ידיים לצדדים כדי לעוף מעלה,Spread your hands to the sides to fly upwards.,مدوا اليدين إلى الجوانب للطيران إلى أعلى
סיכום משחק לפי כמות הטרפים,צדת כמו חיוויאי נחשים,You hunted like a short-toed snake eagle.,نجحت بالاصطياد مثل عقاب صرارة صياد الثعابين
,צדת כמו עיט זהוב,You hunted like a golden eagle.,نجحت بالاصطياد مثل العقاب الذهبي
,צדת כמו עקב עיטי,You hunted like a long-legged buzzard.,نجحت بالاصطياد مثل الصقر الجارح
,צדת כמו נשר מקראי,You hunted like a griffon vulture.,نجحت بالاصطياد مثل النسر الأسمر الأوراسي
,צדת כמו בז אדום,You hunted like a lesser kestrel.,نجحت بالاصطياد مثل العويسق
מסך פנה את העמדה,פנו את העמדה לבאים בתור,Please make way for those waiting in line.,يرجى مغادرة النقطة لأولئك الذين يأتون بعدكم في الدور
נשר מקראי,הנשר המקראי ניזון בלעדית מחיות שכבר מתו. נשר רעב מסוגל לאכול יותר מקילוגרם בשר - כחמישית ממשקל גופו^ דבר שמקשה עליו מאוד לעוף בסוף הארוחה,The griffon vulture only eats carcasses. A hungry vulture can eat more than a kilogram of meat - about a fifth of its own body weight^ which makes flying after a meal difficult.,"يتغذى النسر الأسمر الأوراسي حصريًا على الحيوانات التي ماتت بالفعل. يستطيع النسر الجائع أن يأكل أكثر من كيلوغرام من اللحم - حوالي خُمس وزن جسمه، مما يجعل من الصعب عليه أن يطير في نهاية الوجبة."
בז אדום,בז אדום מסוגל לרחף במקום^ ובכך לעקוב אחר טרף על הקרקע^ להמתין לרגע הנכון ולתקוף.,While tracking prey on the ground and waiting for the right moment to attack^ the lesser kestrel hovers in place.,"يستطيع العويسق التحليق في مكانه، وبالتالي تتبّع الفريسة على الأرض في انتظار اللحظة المناسبة والهجوم."
חיוואי נחשים,כדי להאכיל גוזל אחד^ יצוד זוג חיוויאי נחשים כ-200 בעלי חיים^ ברובם נחשים,In order to feed a single chick^ a pair of short-toed snake eagles must hunt about 200 animals^ mostly snakes.,"من أجل إطعام فرخ واحد، يصطاد زوجان من عقاب صرارة صياد الثعابين نحو 200 حيوان، معظمهم من الثعابين"
עיט זהוב,כאשר הוא צד צב^ העיט הזהוב שומט את הצב מגובה רב כדי שיישבר שריונו.,When it hunts a tortoise^ the golden eagle drops it from a great height to shatter its shell.,"عند اصطياده سلحفاة، يسقط العقاب الذهبي السلحفاة من ارتفاع كبير حتى ينكسر درعها."
עקב עיטי,כדי להאכיל זוג גוזלים^ יצוד זוג עקבים עיטיים כ-300 בעלי חיים,In order to feed two chicks^ a pair of long-legged buzzards must hunt about 300 animals.,"من أجل إطعام فرخَيْن اثنين، يصطاد زوجان من عقاب صرارة صياد الثعابين نحو 300 حيوان، معظمهم من الثعابين"
